"id","property_type","city","price","sq_m_built","n_bedrooms","bathrooms","floor","year_built","exterior","parking","log_price","city-neighborhood"
103375204,Flat / apartment,Barcelona,530000,80,2,1,3,1912,True,False,13,Barcelona - El Raval
94000904,Flat / apartment,Barcelona,165000,58,2,1,3,1850,True,False,12,Barcelona - El Raval
104382041,Flat / apartment,Barcelona,430000,155,3,2,1,2003,True,False,12,Barcelona - Ciutat Vella
97791792,Flat / apartment,Barcelona,279999,89,2,2,3,1920,True,False,12,Barcelona - El Raval
104397583,Flat / apartment,Barcelona,230000,70,2,2,1,1900,True,False,12,Barcelona - El Raval
102336106,Flat / apartment,Barcelona,310000,73,2,1,4,1900,True,False,12,Barcelona - Ciutat Vella
101044355,Flat / apartment,Barcelona,335000,149,4,2,0,1900,True,False,12,Barcelona - Ciutat Vella
102741132,Flat / apartment,Barcelona,127000,33,2,1,5,1819,True,False,11,Barcelona - Ciutat Vella
104348134,Flat / apartment,Barcelona,649000,118,3,2,3,1860,True,False,13,Barcelona - El Raval
103801017,Flat / apartment,Barcelona,138500,50,2,2,1,1900,False,False,11,Barcelona - El Raval
103775272,Studio flat,Barcelona,330000,54,0,1,1,1900,True,False,12,Barcelona - El Raval
101435479,Flat / apartment,Barcelona,450000,110,2,2,1,1850,True,False,13,Barcelona - El Raval
102756178,Flat / apartment,Barcelona,225000,33,1,1,2,1900,True,False,12,Barcelona - El Raval
84119197,Flat / apartment,Barcelona,1350000,224,4,3,1,1910,True,False,14,Barcelona - El Raval
104245206,Flat / apartment,Barcelona,350000,75,3,2,5,1970,True,False,12,Barcelona - El Raval
103690013,Flat / apartment,Barcelona,199000,57,1,1,2,2001,False,False,12,Barcelona - El Raval
93523130,Flat / apartment,Barcelona,120500,54,3,1,3,1900,False,False,11,Barcelona - Ciutat Vella
104142563,Flat / apartment,Barcelona,180000,70,2,1,4,1850,True,False,12,Barcelona - El Raval
100859087,Flat / apartment,Barcelona,448000,56,1,1,0,1900,False,False,13,Barcelona - Ciutat Vella
104182440,Flat / apartment,Barcelona,199900,40,1,1,2,1850,True,False,12,Barcelona - El Raval
104023286,Penthouse,Barcelona,415000,69,2,1,5,1900,True,False,12,Barcelona - El Raval
103774998,Flat / apartment,Barcelona,190000,73,4,1,1,1900,True,False,12,Barcelona - El Raval
103953486,Flat / apartment,Barcelona,155000,41,2,1,4,1900,True,False,11,Barcelona - El Raval
99616397,Flat / apartment,Barcelona,186000,45,1,1,1,1850,True,False,12,Barcelona - El Raval
97670228,Flat / apartment,Barcelona,1500000,214,2,1,0,1900,True,False,14,Barcelona - Ciutat Vella
103795015,Flat / apartment,Barcelona,199000,57,1,1,2,2001,True,False,12,Barcelona - El Raval
97743178,Flat / apartment,Barcelona,220000,36,2,1,3,1860,True,False,12,Barcelona - El Raval
103923048,Flat / apartment,Barcelona,383250,67,1,1,2,1890,True,False,12,Barcelona - Ciutat Vella
102127806,Flat / apartment,Barcelona,199000,61,1,1,2,1900,True,False,12,Barcelona - El Raval
