"PropertyTitle","Price","Rooms","Floors","Bedrooms","Living","Type","Condition","Standing","ConstructionYear","Total","Bathrooms","Land","ParkingLots(Outside)","ParkingLots(Inside)","Internal","Terraces","Garages(Outside)","Cellar","Beds"
PARIS 7ème  - 1 chambre - view les invalides,"$1,258,458",2,4,1,"50 m²",Condo/Apartment,New,High luxury,1880,"",,"",,,"","","","",""
Paris 7th - 2 bedrooms - 6th floor - Balcony Rooftop view.,"$1,422,604",4,6,2,"68 m²",Condo/Apartment,Excellent condition,"",1895,"70 m²",,"",,,"","","","",""
Paris 8th -Plaza Athénée Avenue Montaigne - Golden Triangle,"$2,024,475",3,,2,"70 m²",Condo/Apartment,New,High luxury,1910,"",,"",,,"","","","",""
Bright Pied-à-terre on Avenue Foch,"$1,039,595",2,,1,"61 m²",Condo/Apartment,Requires renovation,Luxury,,"61 m²",,"",,,"","","","",""
PRIVATE ROAD - HIGH FLOOR - 4 ROOMS - BALCONY -JANSON de SAILLY -,"$1,805,613",4,6,2,"108 m²",Condo/Apartment,Good condition,"",1898,"",,"",,,"","","","",""
SUN-DRENCHED CORNER APARTMENT - TWO BEDROOMS,"$1,258,458",4,6,2,"92.2 m²",Condo/Apartment,Requires renovation,High luxury,1928,"92.2 m²",,"",,,"","","","",""
Plaine Monceau,"$1,214,685",3,6,2,"90.1 m²",Condo/Apartment,Requires renovation,Luxury,1900,"90.1 m²",,"",,,"","","","",""
"Passy-nicolo, 2 bedrooms 107m2","$1,674,296",4,,3,"99.42 m²",Condo/Apartment,New,"",1970,"107 m²",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$96,299",1,6,1,"10.29 m²",Condo/Apartment,"","",1908,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$202,448",1,7,,"15.15 m²",Condo/Apartment,"","",1975,"",,"",,,"","","","",""
EXCLUSIVE TO THE MOUFFETARD DISTRICT,"$590,928",2,4,1,"58.5 m²",Condo/Apartment,"","",1900,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$634,700",3,10,2,"65.47 m²","","","",,"",1,"",,,"","","","",""
